id,fecha,texto,likes,sentimiento
230,2026-03-16,"Felicidades para mi hija y cada uno de los chicos ,dios los acompañe.",1.0,positivo
18,2026-03-16,Muchos éxitos hijo hoy ingresantes y decidiste cumplir un sueño tu puedes felicitaciones acá estaré esperándote 👏🏼👏🏼👏🏼👏🏼👏🏼,6.0,positivo
146,2026-03-16,Muchos éxitos para los cadetes y aspirantes luchen por sueños que la recompensa de portar el uniforme es muy grande ! 💪🩷,1.0,positivo
25,2026-03-16,Éxitos @lolioyeniyi te espero acá amor ❤️,6.0,positivo
102,2026-03-16,Mi hijo está ahí. Orgullosa de el.,11.0,positivo
316,2026-03-16,👏👏👏👏👏,1.0,positivo
186,2026-03-23,"Mi hijo tiene 17 años y lo que más desea desde niño es ser bombero, este es su último año de terminar la secundaria alguien me puede explicar como es el tema de inscripción, requisitos porfavor",1.0,neutro
209,2026-03-16,Muy pronto yo 👏,1.0,positivo
138,2026-03-16,❤️❤️👏🏻👏🏻👏🏻👏🏻👏🏻🙌🏻,1.0,positivo
156,2026-03-16,Que lindooo que emoción y nervios para los chicos /as fuerza a triunfar felicitaciones 👏,9.0,positivo
226,2026-03-16,"Felicitaciones a los jóvenes q descubren está hermosa vocación nada es sin sacrificio!! EXITOS A TODOS!mí hijo paso x ahí en época de pandemia fue muy duro para ellos y para nosotros como familia se graduó estuvo dos años pero decidió cambiar y entro en una petrolera ,de todos modos sigue siendo bombero voluntario en Sarandi😍",5.0,positivo
355,2026-04-06,Dan verguenza todos acomodados..3 años esta intentando entrar y gracias a dios nunca dejo la carrera militar un año mas y ya recibe de oficial mientras ustedes juegan con los jovenes con vocacion..en 20 dias no queda 1 ahi😂😂😂,,negativo
255,2026-03-16,👏😍,3.0,positivo
176,2026-04-06,Vendemos Campera de Vuelo Tipo Alpha Modelo MA-1. Contacto: 3571-668568. Se pueden ver y/o retirar por San Miguel Zona Oeste Bs As y Córdoba Capital. Realizamos Envíos a todo el País.,,neutro
266,2026-03-16,Suerte a todos y todas 💪🏾,3.0,positivo
168,2026-03-16,Voy por el médico gracias a dios alguien sabe cuantas etapa me faltan?,2.0,neutro
194,2026-03-23,Felicitaciones a todos los cadetes 👏,1.0,positivo
20,2026-03-16,❤️suerte para nuestros hombres y mujeres del futuro👏❤️,42.0,positivo
282,2026-03-16,"Yo me postule y todo y me mandaron a casa a esperar el medico .... jamas me llamaron .... era cierto que entran los acomodados por algun familiar de la fuerza ""apadrinados"" JAJAJAJAJAJA",,negativo
80,2026-03-16,"Felicitaciones a los jóvenes q descubren está hermosa vocación nada es sin sacrificio!! EXITOS A TODOS!mí hijo paso x ahí en época de pandemia fue muy duro para ellos y para nosotros como familia se graduó estuvo dos años pero decidió cambiar y entro en una petrolera ,de todos modos sigue siendo bombero voluntario en Sarandi😍",5.0,positivo
164,2026-03-16,"Que orgullo hijo !!! transitando un nuevo sueño, cuídense, siempre adelante 👏",3.0,positivo
19,2026-03-16,Mucha emoción ver a todos esos chic@s con sus bolsos preparados para hacer carrera y servir al pueblo!!!!,21.0,positivo
302,2026-03-16,💙💙💙💙👮🏻‍♀️👮🏻👮🏻‍♀️👏🏼👏🏼👏🏼👏🏼👏🏼🙌🏻,1.0,positivo
105,2026-03-16,Exito para todos.. 🙌,4.0,positivo
279,2026-03-16,👏👏👏👏👏,2.0,positivo
