id,fecha,texto,likes,sentimiento,pred_hf
18,2026-03-16,Muchos éxitos hijo hoy ingresantes y decidiste cumplir un sueño tu puedes felicitaciones acá estaré esperándote 👏🏼👏🏼👏🏼👏🏼👏🏼,6.0,,POS
19,2026-03-16,Mucha emoción ver a todos esos chic@s con sus bolsos preparados para hacer carrera y servir al pueblo!!!!,21.0,,POS
20,2026-03-16,❤️suerte para nuestros hombres y mujeres del futuro👏❤️,42.0,,POS
21,2026-03-16,"Muchos éxitos hija, orgullosa de vos, nos vemos el 6 de marzo ❤️",5.0,,POS
22,2026-03-23,Felicitaciones a todos los cadetes 🙌👏👏👏,2.0,,POS
23,2026-03-16,Hasta formar esas filas no paro 😍👩🏻‍🚒,22.0,,NEG
24,2026-03-16,Hace un año ingresaba mi hijo y hoy veo ingresar a mi sobrina 😍❤️,16.0,,NEU
25,2026-03-16,Éxitos @lolioyeniyi te espero acá amor ❤️,6.0,,POS
26,2026-03-16,Orgullosa de Vos Hijo 💙 🇦🇷 Que sea un gran comienzo @to_romanokk,21.0,,POS
27,2026-03-23,Mi hija ingresó el lunes😢,2.0,,NEU
28,2026-03-23,"Mi hijo tiene 17 años y lo que más desea desde niño es ser bombero, este es su último año de terminar la secundaria alguien me puede explicar como es el tema de inscripción, requisitos porfavor",1.0,,NEU
29,2026-03-16,Mi hijo está ahí. Orgullosa de el.,11.0,,POS
30,2026-03-16,Orgullosa de vos hija te amamos muchísimo mamá y papá @aaixarioss a darle para delante te amamos,2.0,,POS
31,2026-03-16,Exito para todos.. 🙌,4.0,,POS
32,2026-03-16,"Andre ,,,lo mejor exito",3.0,,POS
33,2026-03-16,vamos ahí está mi hermana orgullosa de ella,8.0,,POS
34,2026-03-16,"Orgullosa de vos mi amor, que sea un gran comienzo para tu nueva etapa ❤️@enzof509",3.0,,POS
35,2026-03-16,Orgullosa de mi amor ❤️,3.0,,POS
36,2026-03-16,Cuanta voluntad y sacrificio de familias y que poco beneficio económico los tienen 🙌,3.0,,NEG
37,2026-03-23,❤️,1.0,,NEU
38,2026-03-16,Que emoción. Me traen recuerdos cuando yo ingrese a la fuerza . Un 15 de marzo del año 1994 ... Que orgullo haber pertenecido . Ahora jubilado sólo me quedan recuerdos gratos ..,2.0,,POS
39,2026-03-23,❤️,1.0,,NEU
40,2026-03-23,Que hermoso !!,1.0,,POS
41,2026-03-23,Mi hermano más chico esta ahi❤️ éxitos,1.0,,NEU
42,2026-03-16,Mira un pariente !! Somos buenos los Ibarra 😀,1.0,,POS
43,2026-03-16,Muy pronto yo 👏,1.0,,NEU
44,2026-03-23,Fuerza adelante orgullo pasión honor. Vamos con todo 💪❤️,2.0,,POS
45,2026-03-23,Dios quiera y mi hijo tome la decisión de ingresar cuando tenga la edad🙏🏼,1.0,,NEU
46,2026-03-23,Felicitaciones a todos los cadetes 👏,1.0,,POS
47,2026-03-16,👏👏👏el futuro del país!!!!!!🥰 SEAN HONESTOS Y TRABAJEN C PASION PARA CUIDAR NUESTRA TIERRA ❤️❤️❤️❤️❤️❤️❤️,4.0,,POS
48,2026-03-16,Hasta q edad ingresa.,2.0,,NEU
49,2026-03-16,👏👏👏👏👏,1.0,,NEU
50,2026-03-16,Mucho Éxito hijo ❤️,1.0,,POS
51,2026-03-16,🙏🇦🇷💪✨,1.0,,NEU
52,2026-03-16,Éxitos,1.0,,NEU
53,2026-03-16,Policía y bomberos de la ciudad: verdadero orgullo de los vecinos de la ciudad Autónoma de Bs As 👏👏👏👏👏👏👏,1.0,,POS
54,2026-03-16,Éxitos y bendiciones para todos,1.0,,POS
55,2026-03-23,Felicitaciones a todos los que intregran el instituto y muy bueno divulgar esto .a no aflojar !!!!,1.0,,POS
56,2026-03-16,Si dios quiere dentro de poco también estaré hay,1.0,,POS
57,2026-03-16,Exitos para todos en esta nueva etapa 🙌🏻👏🏻,8.0,,POS
58,2026-03-16,Muchos éxitos para todos los aspirantes!!,2.0,,POS
59,2026-03-16,EXITOS !!! A TODOS LOS ASPIRANTES!!!👏👏❤️❤️❤️❤️,2.0,,POS
60,2026-03-16,👏👏👏👏👏,1.0,,NEU
61,2026-03-16,QUE HERMOSO MOMENTO ! 🙌 #INOLVIDABLE Que Dios los proteja siempre y que el servicio los cruce con excelentes compañeros y jefes 🙏🙏,1.0,,POS
62,2026-03-16,Sras sin aritos en las orejas 😮 ni invisibles.,1.0,,NEU
63,2026-03-16,Éxitos mí Marian ❤️,1.0,,POS
64,2026-03-16,❤️❤️👏🏻👏🏻👏🏻👏🏻👏🏻🙌🏻,1.0,,NEU
65,2026-03-16,💙💙💙💙👮🏻‍♀️👮🏻👮🏻‍♀️👏🏼👏🏼👏🏼👏🏼👏🏼🙌🏻,1.0,,NEU
66,2026-03-16,Buen inicio para todos👏🏻👏🏻👏🏻 !!!,1.0,,POS
67,2026-03-16,Éxitos 🙌,1.0,,NEU
68,2026-03-16,"Orgullosa de mi hija Brisa ,mucha emoción y felicidad por ver cumplir su sueño",1.0,,POS
69,2026-03-16,Qué emoción !! Cuántos son!!,1.0,,POS
70,,"""Policia"" de la ciudad...😂🤌🏻🤌🏻 fabrica de humo",,,NEG
71,2026-03-16,Mi sobrina está hay mis mejores deseos para ella y todos sus compañeros.!!,1.0,,POS
72,2026-03-16,Muchos éxitos para los cadetes y aspirantes luchen por sueños que la recompensa de portar el uniforme es muy grande ! 💪🩷,1.0,,POS
73,2026-03-16,HONOR y gloria!!!!!,1.0,,POS
74,2026-03-16,Suerte a esa nueva promoción,1.0,,POS
75,2026-03-16,"Bienvenidos, les deseo el mejor de los éxitos.",153.0,,POS
76,2026-03-16,"Si dios quiere, dentro de poco sere uno de ellos🙌🏻❤️",87.0,,POS
77,2026-03-16,Me acuerdo ese primer día tenía unos nervios. En 2 días cumplo 5 años perteneciendo a la fuerza. 🙌,40.0,,NEU
78,2026-03-16,Mucho sacrificio para entrar .. solo un familiar de quien aingresa sabe de eso . La mejor suerte para todos y cada uno de los que ingresaron hoy .. ew una carrera larga que tiene sus momentos buenos y malos. pero es la mejor vocación que uno puede tener ..,49.0,,POS
79,2026-03-16,Aguante la policia 👏👏❤️,7.0,,POS
80,2026-03-16,"Felicitaciones a los jóvenes q descubren está hermosa vocación nada es sin sacrificio!! EXITOS A TODOS!mí hijo paso x ahí en época de pandemia fue muy duro para ellos y para nosotros como familia se graduó estuvo dos años pero decidió cambiar y entro en una petrolera ,de todos modos sigue siendo bombero voluntario en Sarandi😍",5.0,,POS
81,2026-03-16,"Mi hija entro hoy, que orgullo😍",21.0,,POS
82,2026-03-16,Exitos a los aspirantes.. ya con entrar en la institución es un orgullo ❤️,13.0,,POS
83,2026-03-16,Si dios quiere el año que viene voy a estar ahi yo 🤞,52.0,,POS
84,2026-03-16,Te Amo hijo !! Orgullosa de vos !!! Felicitaciones para todos 👏👏,5.0,,POS
85,2026-03-23,Suerte 6 adelante exitos totales. ....que dios los cuide y protejan 👏👏👏👏👏👏👏👏👏,2.0,,POS
86,2026-03-16,Hace dos años que estoy retirada...y este video me dió mucha nostalgia 😌 muchos éxitos para todos!!,16.0,,POS
87,2026-03-30,Orgullosa de vos Tobias Román 💙🇦🇷👮🏻‍♂️,2.0,,POS
88,2026-03-16,"Orgullosos de vos hijo mío @aguspaez.0 y de todos los que van a formar parte de cuidar nuestras patria .. ver un poquito de este video me alivio el corazón, ya que vine llorando 🥹. Dios y la virgencita me lo protejan..buen comienzo futuro país!! 💪🏻",6.0,,POS
89,2026-03-16,Deje a mi hija hace un año con terror me vine llorando hoy es bombero de la ciudad y sigue estudiando mi mayor orgullo!!,25.0,,POS
90,2026-03-16,❤️suerte para nuestros hombres y mujeres del futuro👏❤️,42.0,,POS
91,2026-03-16,"Muchos éxitos hija, orgullosa de vos, nos vemos el 6 de marzo ❤️",5.0,,POS
92,2026-03-16,😍😍😍que lindo por dios....orgullo de tener a mi hijo en esta nueva etapa....suerte .,24.0,,POS
93,2026-03-16,"Exitos a todos! Gracias por las imágenes, hacen que los extrañemos un poquito menos ❤️‍🩹 Orgullosa de mi amor!",11.0,,POS
94,2026-03-16,Muchos éxitos hijo hoy ingresantes y decidiste cumplir un sueño tu puedes felicitaciones acá estaré esperándote 👏🏼👏🏼👏🏼👏🏼👏🏼,6.0,,POS
95,2026-03-16,Mucha emoción ver a todos esos chic@s con sus bolsos preparados para hacer carrera y servir al pueblo!!!!,21.0,,POS
96,2026-03-23,Felicitaciones a todos los cadetes 🙌👏👏👏,2.0,,POS
97,2026-03-16,Hasta formar esas filas no paro 😍👩🏻‍🚒,22.0,,NEG
98,2026-03-16,Hace un año ingresaba mi hijo y hoy veo ingresar a mi sobrina 😍❤️,16.0,,NEU
99,2026-03-16,Orgullosa de Vos Hijo 💙 🇦🇷 Que sea un gran comienzo @to_romanokk,21.0,,POS
100,2026-03-16,Éxitos @lolioyeniyi te espero acá amor ❤️,6.0,,POS
101,2026-03-16,Orgullosa de vos hija te amamos muchísimo mamá y papá @aaixarioss a darle para delante te amamos,2.0,,POS
102,2026-03-16,Mi hijo está ahí. Orgullosa de el.,11.0,,POS
103,2026-03-16,"Andre ,,,lo mejor exito",3.0,,POS
104,2026-03-16,vamos ahí está mi hermana orgullosa de ella,8.0,,POS
105,2026-03-16,Exito para todos.. 🙌,4.0,,POS
106,2026-03-23,"Mi hijo tiene 17 años y lo que más desea desde niño es ser bombero, este es su último año de terminar la secundaria alguien me puede explicar como es el tema de inscripción, requisitos porfavor",1.0,,NEU
107,2026-03-23,Mi hija ingresó el lunes😢,2.0,,NEU
108,2026-03-16,"Orgullosa de vos mi amor, que sea un gran comienzo para tu nueva etapa ❤️@enzof509",3.0,,POS
109,2026-03-16,Orgullosa de mi amor ❤️,3.0,,POS
110,2026-03-16,Cuanta voluntad y sacrificio de familias y que poco beneficio económico los tienen 🙌,3.0,,NEG
111,2026-03-23,❤️,1.0,,NEU
112,2026-03-23,❤️,1.0,,NEU
113,2026-03-16,Que emoción. Me traen recuerdos cuando yo ingrese a la fuerza . Un 15 de marzo del año 1994 ... Que orgullo haber pertenecido . Ahora jubilado sólo me quedan recuerdos gratos ..,2.0,,POS
114,2026-03-23,Que hermoso !!,1.0,,POS
115,2026-03-23,Mi hermano más chico esta ahi❤️ éxitos,1.0,,NEU
116,2026-03-16,Mira un pariente !! Somos buenos los Ibarra 😀,1.0,,POS
117,2026-03-16,Muy pronto yo 👏,1.0,,NEU
118,2026-03-23,Fuerza adelante orgullo pasión honor. Vamos con todo 💪❤️,2.0,,POS
119,2026-03-23,Dios quiera y mi hijo tome la decisión de ingresar cuando tenga la edad🙏🏼,1.0,,NEU
120,2026-03-23,Felicitaciones a todos los cadetes 👏,1.0,,POS
121,2026-03-16,👏👏👏el futuro del país!!!!!!🥰 SEAN HONESTOS Y TRABAJEN C PASION PARA CUIDAR NUESTRA TIERRA ❤️❤️❤️❤️❤️❤️❤️,4.0,,POS
122,2026-03-16,Hasta q edad ingresa.,2.0,,NEU
123,2026-03-16,👏👏👏👏👏,1.0,,NEU
124,2026-03-16,Mucho Éxito hijo ❤️,1.0,,POS
125,2026-03-16,🙏🇦🇷💪✨,1.0,,NEU
126,2026-03-16,Éxitos,1.0,,NEU
127,2026-03-16,Policía y bomberos de la ciudad: verdadero orgullo de los vecinos de la ciudad Autónoma de Bs As 👏👏👏👏👏👏👏,1.0,,POS
128,2026-03-16,Éxitos y bendiciones para todos,1.0,,POS
129,2026-03-23,Felicitaciones a todos los que intregran el instituto y muy bueno divulgar esto .a no aflojar !!!!,1.0,,POS
130,2026-03-16,Si dios quiere dentro de poco también estaré hay,1.0,,POS
131,2026-03-16,Exitos para todos en esta nueva etapa 🙌🏻👏🏻,8.0,,POS
132,2026-03-16,Muchos éxitos para todos los aspirantes!!,2.0,,POS
133,2026-03-16,EXITOS !!! A TODOS LOS ASPIRANTES!!!👏👏❤️❤️❤️❤️,2.0,,POS
134,2026-03-16,👏👏👏👏👏,1.0,,NEU
135,2026-03-16,QUE HERMOSO MOMENTO ! 🙌 #INOLVIDABLE Que Dios los proteja siempre y que el servicio los cruce con excelentes compañeros y jefes 🙏🙏,1.0,,POS
136,2026-03-16,Sras sin aritos en las orejas 😮 ni invisibles.,1.0,,NEU
137,2026-03-16,Éxitos mí Marian ❤️,1.0,,POS
138,2026-03-16,❤️❤️👏🏻👏🏻👏🏻👏🏻👏🏻🙌🏻,1.0,,NEU
139,2026-03-16,💙💙💙💙👮🏻‍♀️👮🏻👮🏻‍♀️👏🏼👏🏼👏🏼👏🏼👏🏼🙌🏻,1.0,,NEU
140,2026-03-16,Buen inicio para todos👏🏻👏🏻👏🏻 !!!,1.0,,POS
141,2026-03-16,Éxitos 🙌,1.0,,NEU
142,2026-03-16,"Orgullosa de mi hija Brisa ,mucha emoción y felicidad por ver cumplir su sueño",1.0,,POS
143,2026-03-16,Qué emoción !! Cuántos son!!,1.0,,POS
144,2026-03-16,"""Policia"" de la ciudad...😂🤌🏻🤌🏻 fabrica de humo",,,NEG
145,2026-03-16,Mi sobrina está hay mis mejores deseos para ella y todos sus compañeros.!!,1.0,,POS
146,2026-03-16,Muchos éxitos para los cadetes y aspirantes luchen por sueños que la recompensa de portar el uniforme es muy grande ! 💪🩷,1.0,,POS
147,2026-03-16,HONOR y gloria!!!!!,1.0,,POS
148,2026-03-16,Suerte a esa nueva promoción,1.0,,POS
149,2026-03-16,Éxitos hija y para todos los cadetes,1.0,,POS
150,2026-03-16,"Mí jefa siempre, Insp Jiménez. 🙌",1.0,,NEU
151,2026-03-16,el año que viene sere uno de ellos 🙌🏻,1.0,,POS
152,2026-03-16,A una etapa de estar ahi lpm,1.0,,NEU
153,2026-03-16,"Felicidades para mi hija y cada uno de los chicos ,dios los acompañe.",1.0,,POS
154,2026-03-16,Bendiciones para todos ustedes y muchas gracias,1.0,,POS
155,2026-03-16,Dios los bendiga 🙌,1.0,,POS
156,2026-03-16,Que lindooo que emoción y nervios para los chicos /as fuerza a triunfar felicitaciones 👏,9.0,,POS
157,2026-03-16,El primer día es el más difícil de todos…. Después todo es hermoso! Los mejores recuerdos y también los más complicados. Muchos éxitos para los nuevos cadetes ❤️🙌,10.0,,POS
158,2026-03-16,Lo recuerdo como si hubiera sido ayer ❤️😢,9.0,,NEU
159,2026-03-16,Te mando todas las fuerzas y abrazos y papá desde el cielo te guía mi hija 🙌 ❤️,10.0,,POS
160,2026-03-16,En proceso de descenso de peso para poder entrar 👊,10.0,,NEU
161,2026-03-16,Muy bien disciplina 👏 lo mejor que pudieron hacer jóvenes a estudiar y servir al pais👏,17.0,,POS
162,2026-03-16,"👏 exitos para todos los aspirantes a Bomberos, en especial a mi hijo Enzo por intentarlo....Dios y la vida dirá ... mucha fuerza. te vamos a extrañar pero estamos felices por éste desafio personal. 💪🏻💜😌",13.0,,POS
163,2026-03-16,"Éxitos a todos y a las familias que quedan esperando sepan que la recompensa es hermosa, ese orgullo de pasar en mí caso la mamá de un bombero no tiene precio ni explicación.",14.0,,POS
164,2026-03-16,"Que orgullo hijo !!! transitando un nuevo sueño, cuídense, siempre adelante 👏",3.0,,POS
165,2026-03-16,Un nuevo camino hijo ....que la virgen cita de lujan siempre te acompañe👏❤️,5.0,,POS
166,2026-03-16,"Éxito hijo , mamá siempre con vos ,orgullosa que logres tu sueño ❤️",6.0,,POS
167,2026-03-16,"Exitos y perseverancia para todos los aspirantes !!! Nunca voy a olvidar el día que ingresó mi hijo y el día que se recibieron 😭 cuánta emoción y orgullo de mi hijo y de todos, a los familiares les digo traten de no perderce nada y sobre todo apoyarlos que lo van a nesecitar!!!👏👏",6.0,,POS
168,2026-03-16,Voy por el médico gracias a dios alguien sabe cuantas etapa me faltan?,2.0,,NEU
169,2026-03-16,@brisa_aabigail,2.0,,NEU
170,2026-03-16,"PRESENTEEEEEEEEEEE , como no me recibieron jajaja",2.0,,NEU
171,2026-03-16,Orgullosa de vos hermano te amo ❤️ éxitos para todos !!,3.0,,POS
172,2026-03-16,Éxitos a cada uno de los aspirantes!! A darlo todo!!!👏👏👏,7.0,,POS
173,2026-03-16,👏😍,3.0,,NEU
174,2026-05-11,A partir de que edad,,,NEU
175,2026-04-06,Mi hijo Guillermo Gustavo Rodríguez está estudiando ahí y estamos todos orgullosos de su ingreso y sacrificio por ser un gran cadete y policía de la ciudad de Buenos Aires ❤️❤️💋💋,,,POS
176,2026-04-06,Vendemos Campera de Vuelo Tipo Alpha Modelo MA-1. Contacto: 3571-668568. Se pueden ver y/o retirar por San Miguel Zona Oeste Bs As y Córdoba Capital. Realizamos Envíos a todo el País.,,,NEU
177,2026-03-30,Buena suerte. Cadetes,,,POS
178,2026-03-30,Orgullosa de vos Tobias Román 💙🇦🇷👮🏻‍♂️,2.0,,POS
179,2026-03-30,❤🙌,,,NEU
180,2026-03-30,@gabrieltt__ ❤️,,,NEU
181,2026-03-30,Mucha suerte para todos excitos,,,POS
182,2026-03-30,"Mi hermanita menor está ahí, que orgullo Dios! ❤️‍🩹",,,POS
183,2026-03-30,Re petisas todas😂 y cuánto fui no daba la altura dijeron,,,NEG
184,2026-03-23,Los de Azul son los buenos👏,,,POS
185,2026-03-23,👏👏bravo!!,,,POS
186,2026-03-23,"Mi hijo tiene 17 años y lo que más desea desde niño es ser bombero, este es su último año de terminar la secundaria alguien me puede explicar como es el tema de inscripción, requisitos porfavor",1.0,,NEU
187,2026-03-23,❤️,1.0,,NEU
188,2026-03-23,❤️,1.0,,NEU
189,2026-03-23,Los aspirantes a bomberos están incomunicados ? No pueden usar el celular ? Alguien que me de un dato?,,,NEG
190,2026-03-23,suban video del lunes ingreso.. y desde la nstitucion ..como es su dia a dia,,,NEU
191,2026-03-23,Suerte 6 adelante exitos totales. ....que dios los cuide y protejan 👏👏👏👏👏👏👏👏👏,2.0,,POS
192,2026-03-23,Felicitaciones a todos los cadetes 🙌👏👏👏,2.0,,POS
193,2026-03-23,Que hermoso !!,1.0,,POS
194,2026-03-23,Felicitaciones a todos los cadetes 👏,1.0,,POS
195,2026-03-23,Dios quiera y mi hijo tome la decisión de ingresar cuando tenga la edad🙏🏼,1.0,,NEU
196,2026-03-23,Mi hija ingresó el lunes😢,2.0,,NEU
197,2026-03-23,Nada que envidiarles a GH. Igualitos!,,,POS
198,2026-03-23,Mi hermano más chico esta ahi❤️ éxitos,1.0,,NEU
199,2026-03-23,Fuerza adelante orgullo pasión honor. Vamos con todo 💪❤️,2.0,,POS
200,2026-03-23,En q provincia es?,,,NEU
201,2026-03-23,Felicitaciones a todos los que intregran el instituto y muy bueno divulgar esto .a no aflojar !!!!,1.0,,POS
202,2026-03-23,Tendría q dejar de poner tope de edad me gustaría entrar no pude de chica y ahora no puedo por tener más de 35,,,NEG
203,2026-03-23,Los nuevos bigotes de leche,,,NEU
204,2026-03-23,Y la PFA?? Q esta pasando en ella???,,,NEG
205,2026-03-23,"Hola como están,una consulta se puede tener tatuajes",,,NEU
206,2026-03-16,Escuela de boy scouts.,,,NEU
207,2026-03-16,Éxitos y bendiciones para todos,1.0,,POS
208,2026-03-16,Cuanta voluntad y sacrificio de familias y que poco beneficio económico los tienen 🙌,3.0,,NEG
209,2026-03-16,Muy pronto yo 👏,1.0,,NEU
210,2026-03-16,"Orgullosos de vos hijo mío @aguspaez.0 y de todos los que van a formar parte de cuidar nuestras patria .. ver un poquito de este video me alivio el corazón, ya que vine llorando 🥹. Dios y la virgencita me lo protejan..buen comienzo futuro país!! 💪🏻",6.0,,POS
211,2026-03-16,Que emoción. Me traen recuerdos cuando yo ingrese a la fuerza . Un 15 de marzo del año 1994 ... Que orgullo haber pertenecido . Ahora jubilado sólo me quedan recuerdos gratos ..,2.0,,POS
212,2026-03-16,Policía y bomberos de la ciudad: verdadero orgullo de los vecinos de la ciudad Autónoma de Bs As 👏👏👏👏👏👏👏,1.0,,POS
213,2026-03-16,Éxitos,1.0,,NEU
214,2026-03-16,"Andre ,,,lo mejor exito",3.0,,POS
215,2026-03-16,Orgullosa de vos hija te amamos muchísimo mamá y papá @aaixarioss a darle para delante te amamos,2.0,,POS
216,2026-03-16,🙏🇦🇷💪✨,1.0,,NEU
217,2026-03-16,Si dios quiere dentro de poco también estaré hay,1.0,,POS
218,2026-03-16,Hasta q edad ingresa.,2.0,,NEU
219,2026-03-16,Mucho Éxito hijo ❤️,1.0,,POS
220,2026-03-16,Éxitos hija y para todos los cadetes,1.0,,POS
221,2026-03-16,"Mí jefa siempre, Insp Jiménez. 🙌",1.0,,NEU
222,2026-03-16,Mira un pariente !! Somos buenos los Ibarra 😀,1.0,,POS
223,2026-03-16,el año que viene sere uno de ellos 🙌🏻,1.0,,POS
224,2026-03-16,"Orgullosa de vos mi amor, que sea un gran comienzo para tu nueva etapa ❤️@enzof509",3.0,,POS
225,2026-03-16,A una etapa de estar ahi lpm,1.0,,NEU
226,2026-03-16,"Felicitaciones a los jóvenes q descubren está hermosa vocación nada es sin sacrificio!! EXITOS A TODOS!mí hijo paso x ahí en época de pandemia fue muy duro para ellos y para nosotros como familia se graduó estuvo dos años pero decidió cambiar y entro en una petrolera ,de todos modos sigue siendo bombero voluntario en Sarandi😍",5.0,,POS
227,2026-03-16,Deje a mi hija hace un año con terror me vine llorando hoy es bombero de la ciudad y sigue estudiando mi mayor orgullo!!,25.0,,POS
228,2026-03-16,Bendiciones para todos ustedes y muchas gracias,1.0,,POS
229,2026-03-16,Dios los bendiga 🙌,1.0,,POS
230,2026-03-16,"Felicidades para mi hija y cada uno de los chicos ,dios los acompañe.",1.0,,POS
231,2026-03-16,Suerte a esa nueva promoción,1.0,,POS
232,2026-03-16,Muchos éxitos hijo hoy ingresantes y decidiste cumplir un sueño tu puedes felicitaciones acá estaré esperándote 👏🏼👏🏼👏🏼👏🏼👏🏼,6.0,,POS
233,2026-03-16,HONOR y gloria!!!!!,1.0,,POS
234,2026-03-16,Muchos éxitos para los cadetes y aspirantes luchen por sueños que la recompensa de portar el uniforme es muy grande ! 💪🩷,1.0,,POS
235,2026-03-16,Mi sobrina está hay mis mejores deseos para ella y todos sus compañeros.!!,1.0,,POS
236,2026-03-16,Sigue abierta la inscripción??,,,NEU
237,2026-03-16,Aguante la policia 👏👏❤️,7.0,,POS
238,2026-03-16,"""Policia"" de la ciudad...😂🤌🏻🤌🏻 fabrica de humo",,,NEG
239,2026-03-16,Mi hijo rindio la cegunda .parte y hasta ahora no le respondieron como lw fue,,,NEG
240,2026-03-16,Qué emoción !! Cuántos son!!,1.0,,POS
241,2026-03-16,❤️🙌,,,NEU
242,2026-03-16,@brisa_aabigail,2.0,,NEU
243,2026-03-16,TODOS DEL CONURBANO,,,NEU
244,2026-03-16,👏👏👏👏👏,1.0,,NEU
245,2026-03-16,👏👏👏el futuro del país!!!!!!🥰 SEAN HONESTOS Y TRABAJEN C PASION PARA CUIDAR NUESTRA TIERRA ❤️❤️❤️❤️❤️❤️❤️,4.0,,POS
246,2026-03-16,"Orgullosa de mi hija Brisa ,mucha emoción y felicidad por ver cumplir su sueño",1.0,,POS
247,2026-03-16,Lo que deseo es que mi hija forme parte de la fuerza,,,POS
248,2026-03-16,Donde hay quw anotar en la plata,,,NEU
249,2026-03-16,Orgullosa de vos hermano te amo ❤️ éxitos para todos !!,3.0,,POS
250,2026-03-16,"Que orgullo hijo !!! transitando un nuevo sueño, cuídense, siempre adelante 👏",3.0,,POS
251,2026-03-16,❤️❤️❤️❤️❤️ Éxitos para todos!!! Fuerza!!!,2.0,,POS
252,2026-03-16,❤️,2.0,,NEU
253,2026-03-16,Que Dios los guíe en este nuevo camino. Y que se haga la voluntad de Dios.,2.0,,POS
254,2026-03-16,Hace dos años que estoy retirada...y este video me dió mucha nostalgia 😌 muchos éxitos para todos!!,16.0,,POS
255,2026-03-16,👏😍,3.0,,NEU
256,2026-03-16,❤️ Vamos flaquito ❤️ Mucha suerte ❤️🍀,3.0,,POS
257,2026-03-16,Voy por el médico gracias a dios alguien sabe cuantas etapa me faltan?,2.0,,NEU
258,2026-03-16,"Éxitos a todos y a las familias que quedan esperando sepan que la recompensa es hermosa, ese orgullo de pasar en mí caso la mamá de un bombero no tiene precio ni explicación.",14.0,,POS
259,2026-03-16,Te Amo hijo !! Orgullosa de vos !!! Felicitaciones para todos 👏👏,5.0,,POS
260,2026-03-16,"Muchos éxitos hija, orgullosa de vos, nos vemos el 6 de marzo ❤️",5.0,,POS
261,2026-03-16,Éxitos para todos! Lamentablemente mí edad y físico no me permiten volver a intentarlo🥹 Pero me alegra mucho que sigan entrando más oficiales para la cuidad de BS.AS y Nos Ayuden Con Tránsito 💪,2.0,,POS
262,2026-03-16,@pablo_viscontii orgullosos ☺️💗,2.0,,NEU
263,2026-03-16,Debe ser vocación !! Por lo que cobran 😂😂😂,1.0,,NEG
264,2026-03-16,Que Dios los bendiga y llegan con éxitos a cumplir sus sueños!!!,3.0,,POS
265,2026-03-16,Dios los guarde.!! Éxitos en este hermoso camino..!!👏👏,2.0,,POS
266,2026-03-16,Suerte a todos y todas 💪🏾,3.0,,POS
267,2026-03-16,Un nuevo camino hijo ....que la virgen cita de lujan siempre te acompañe👏❤️,5.0,,POS
268,2026-03-16,"Qué orgullo, poder pagar con mis impuestos la seguridad !!!! Gracias.",,,POS
269,2026-03-16,Hola cómo es para poder entrar y que hay que hacer dónde dan información,,,NEU
270,2026-03-16,Esperemos que lle hagan honor a nuestra ciudad Porteña,2.0,,POS
